Flat Plate Airfoil (0.167% thickness)
1.0000     0.0000
0.9500     0.0008
0.9000     0.0008
0.8000     0.0008
0.7000     0.0008
0.6000     0.0008
0.5000     0.0008
0.4000     0.0008
0.3000     0.0008
0.2000     0.0008
0.1000     0.0008
0.0500     0.0008
0.0250     0.0008
0.0125     0.0004
0.0000     0.0000
0.0125    -0.0004
0.0250    -0.0008
0.0500    -0.0008
0.1000    -0.0008
0.2000    -0.0008
0.3000    -0.0008
0.4000    -0.0008
0.5000    -0.0008
0.6000    -0.0008
0.7000    -0.0008
0.8000    -0.0008
0.9000    -0.0008
0.9500    -0.0008
1.0000     0.0000
